URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,score_diff,take_foul,SecsLeft
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,32,PHO,Turnover by E. Bledsoe (bad pass; steal by E. Gordon),109,NOP,,112,,,,,,,,,,,,,,,,,,,,E. Bledsoe - bledser01,bad pass,steal,E. Gordon - gordoer01,,,,3,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,31,PHO,,109,NOP,Personal block foul by B. Knight (drawn by E. Gordon),112,,,,,,,personal block,B. Knight - knighbr03,E. Gordon - gordoer01,,,,,,,,,,,,,,,,,,3,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,31,PHO,,109,NOP,L. Babbitt enters the game for A. Gee,112,,,,,,,,,,,,,,,,,,L. Babbitt - babbilu01,A. Gee - geeal01,,,,,,,,3,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,30,PHO,,109,NOP,Personal take foul by E. Bledsoe (drawn by I. Smith),112,,,,,,,personal take,E. Bledsoe - bledser01,I. Smith - smithis01,,,,,,,,,,,,,,,,,,3,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,30,PHO,,109,NOP,I. Smith makes free throw 1 of 2,113,,,,,,,,,,,,,,,I. Smith - smithis01,make,1 of 2,,,,,,,,,,4,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,30,PHO,,109,NOP,I. Smith makes free throw 2 of 2,114,,,,,,,,,,,,,,,I. Smith - smithis01,make,2 of 2,,,,,,,,,,5,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,30,PHO,Phoenix full timeout,109,NOP,,114,,,,,,,,,,,,,,PHO,,,,,,,,,,,,,5,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,30,PHO,,109,NOP,A. Gee enters the game for L. Babbitt,114,,,,,,,,,,,,,,,,,,A. Gee - geeal01,L. Babbitt - babbilu01,,,,,,,,5,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,27,PHO,P. Tucker makes 3-pt jump shot from 24 ft (assist by M. Teletovi),112,NOP,,114,P. Tucker - tuckepj01,3-pt jump shot,make,24.0,M. Teletović - teletmi01,,,,,,,,,,,,,,,,,,,,,,2,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,26,PHO,,112,NOP,Personal foul by E. Bledsoe (drawn by E. Gordon),114,,,,,,,personal,E. Bledsoe - bledser01,E. Gordon - gordoer01,,,,,,,,,,,,,,,,,,2,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,26,PHO,,112,NOP,E. Gordon makes free throw 1 of 2,115,,,,,,,,,,,,,,,E. Gordon - gordoer01,make,1 of 2,,,,,,,,,,3,True,30.0
/boxscores/201511220NOP.html,regular,Smoothie King Center New Orleans Louisiana,November 22 2015,6:00 PM,NOP,4,26,PHO,,112,NOP,E. Gordon makes free throw 2 of 2,116,,,,,,,,,,,,,,,E. Gordon - gordoer01,make,2 of 2,,,,,,,,,,4,True,30.0
