URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,secs_left,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,score_diff,take_foul,winning_take_foul
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,32,MEM,M. Conley misses 3-pt jump shot from 24 ft,86,LAC,,87,7,M. Conley - conlemi01,3-pt jump shot,miss,24,,,,,,,,,,,,,,,,,,,,,,,1,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,31,MEM,,86,LAC,Defensive rebound by C. Paul,87,7,,,,,,,,,,C. Paul - paulch01,defensive,,,,,,,,,,,,,,,,1,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,Shooting foul by T. Allen (drawn by J. Redick),87,7,,,,,,,shooting,T. Allen - allento01,J. Redick - redicjj01,,,,,,,,,,,,,,,,,,1,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,J. Redick makes free throw 1 of 3,88,7,,,,,,,,,,,,,,,J. Redick - redicjj01,make,1 of 3,,,,,,,,,,2,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,J. Redick makes free throw 2 of 3,89,7,,,,,,,,,,,,,,,J. Redick - redicjj01,make,2 of 3,,,,,,,,,,3,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,A. Rivers enters the game for P. Pierce,89,7,,,,,,,,,,,,,,,,,,A. Rivers - riverau01,P. Pierce - piercpa01,,,,,,,,3,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,J. Redick makes free throw 3 of 3,90,7,,,,,,,,,,,,,,,J. Redick - redicjj01,make,3 of 3,,,,,,,,,,4,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,Memphis full timeout,86,LAC,,90,7,,,,,,,,,,,,,,MEM,,,,,,,,,,,,,4,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,,86,LAC,L. Mbah a Moute enters the game for J. Redick,90,7,,,,,,,,,,,,,,,,,,L. Mbah a Moute - mbahalu01,J. Redick - redicjj01,,,,,,,,4,FALSE,TRUE
/boxscores/201511090LAC.html,regular,STAPLES Center Los Angeles California,November 9 2015,10:30 PM,LAC,4,13,MEM,C. Lee enters the game for T. Allen,86,LAC,,90,7,,,,,,,,,,,,,,,,,,C. Lee - leeco01,T. Allen - allento01,,,,,,,,4,FALSE,TRUE
